case,candidate,seed,thermal_weight,wirelength_weight,legalization_status,is_legal,before_overlap_pairs,after_overlap_pairs,source_input,legalized_json,compare_png,eval_input,eval_stem
acend910,3,121,0.0,0.2,ok,true,5,3,legalized/acend910_candidate03_thermal0_wirelength0p2_seed121_legalized_illegal.json,legalized/acend910_candidate03_thermal0_wirelength0p2_seed121_legalized_illegal_legal.json,legalized/acend910_candidate03_thermal0_wirelength0p2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/acend910_thermal0_wirelength0p2_seed121.json,acend910_thermal0_wirelength0p2_seed121
acend910,4,121,0.0,2.0,ok,true,7,1,legalized/acend910_candidate04_thermal0_wirelength2_seed121_legalized_illegal.json,legalized/acend910_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal.json,legalized/acend910_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/acend910_thermal0_wirelength2_seed121.json,acend910_thermal0_wirelength2_seed121
acend910,8,121,0.01,0.2,ok,true,5,1,legalized/acend910_candidate08_thermal0p01_wirelength0p2_seed121_legalized_illegal.json,legalized/acend910_candidate08_thermal0p01_wirelength0p2_seed121_legalized_illegal_legal.json,legalized/acend910_candidate08_thermal0p01_wirelength0p2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/acend910_thermal0p01_wirelength0p2_seed121.json,acend910_thermal0p01_wirelength0p2_seed121
acend910,13,121,0.03,0.2,ok,true,4,2,legalized/acend910_candidate13_thermal0p03_wirelength0p2_seed121_legalized_illegal.json,legalized/acend910_candidate13_thermal0p03_wirelength0p2_seed121_legalized_illegal_legal.json,legalized/acend910_candidate13_thermal0p03_wirelength0p2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/acend910_thermal0p03_wirelength0p2_seed121.json,acend910_thermal0p03_wirelength0p2_seed121
Case10,4,121,0.0,2.0,ok,true,89,89,legalized/Case10_candidate04_thermal0_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate04_thermal0_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal0_wirelength2_seed121.json,Case10_thermal0_wirelength2_seed121
Case10,9,121,0.01,2.0,ok,true,77,24,legalized/Case10_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate09_thermal0p01_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal0p01_wirelength2_seed121.json,Case10_thermal0p01_wirelength2_seed121
Case10,14,121,0.03,2.0,ok,true,77,37,legalized/Case10_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate14_thermal0p03_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal0p03_wirelength2_seed121.json,Case10_thermal0p03_wirelength2_seed121
Case10,19,121,0.1,2.0,ok,true,48,4,legalized/Case10_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate19_thermal0p1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal0p1_wirelength2_seed121.json,Case10_thermal0p1_wirelength2_seed121
Case10,24,121,0.3,2.0,ok,true,56,6,legalized/Case10_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate24_thermal0p3_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal0p3_wirelength2_seed121.json,Case10_thermal0p3_wirelength2_seed121
Case10,29,121,1.0,2.0,ok,true,80,60,legalized/Case10_candidate29_thermal1_wirelength2_seed121_legalized_illegal.json,legalized/Case10_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal.json,legalized/Case10_candidate29_thermal1_wirelength2_seed121_legalized_illegal_legal_compare.png,/root/placement/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_illegal_pairs_format/Case10_thermal1_wirelength2_seed121.json,Case10_thermal1_wirelength2_seed121
